Cust #,Customer Name,Media #,Media Identifier,CreatedDate,Status,Logical Vault,DRP,Rtn-date,MT,CONT/OM,Slot #,Date In,Date Out,Generation,Description                                                   
U092,"KLDiscovery Limited","S00697L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-16-000502,26/08/2021,,,S00697L5
U092,"KLDiscovery Limited","S00699L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-09-000257,20/10/2022,,,S00699L5
U092,"KLDiscovery Limited","S00700L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000553,02/09/2021,,,S00700L5
U092,"KLDiscovery Limited","S00701L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-05-000158,20/10/2022,,,S00701L5
U092,"KLDiscovery Limited","S00702L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-18-000553,26/08/2021,,,S00702L5
U092,"KLDiscovery Limited","S00703L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-03-000087,26/08/2021,,,S00703L5
U092,"KLDiscovery Limited","S00704L5",,16/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000572,16/09/2021,,,S00704L5
U092,"KLDiscovery Limited","S00705L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-15-000478,26/08/2021,,,S00705L5
U092,"KLDiscovery Limited","S00706L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-02-000060,20/10/2022,,,S00706L5
U092,"KLDiscovery Limited","S00707L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-07-000207,20/10/2022,,,S00707L5
U092,"KLDiscovery Limited","S00708L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-06-000164,20/10/2022,,,S00708L5
U092,"KLDiscovery Limited","S00712L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-05-000137,26/08/2021,,,S00712L5
U092,"KLDiscovery Limited","S00716L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-03-000085,20/10/2022,,,S00716L5
U092,"KLDiscovery Limited","S00717L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-05-000130,20/10/2022,,,S00717L5
U092,"KLDiscovery Limited","S00719L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-03-000094,20/10/2022,,,S00719L5
U092,"KLDiscovery Limited","S00720L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-07-000199,20/10/2022,,,S00720L5
U092,"KLDiscovery Limited","S00721L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-07-000197,20/10/2022,,,S00721L5
U092,"KLDiscovery Limited","S00722L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-06-000165,20/10/2022,,,S00722L5
U092,"KLDiscovery Limited","S00723L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-08-000230,20/10/2022,,,S00723L5
U092,"KLDiscovery Limited","S00724L5",,20/10/2022,Delivered,"DLT/LTO",,28/07/2023,"T -DLT / TK80",OPENMEDIA,,20/10/2022,28/07/2023,,S00724L5
U092,"KLDiscovery Limited","S00725L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-06-000169,20/10/2022,,,S00725L5
U092,"KLDiscovery Limited","S00726L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-04-000126,20/10/2022,,,S00726L5
U092,"KLDiscovery Limited","S00727L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-05-000143,20/10/2022,,,S00727L5
U092,"KLDiscovery Limited","S00728L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-04-000116,20/10/2022,,,S00728L5
U092,"KLDiscovery Limited","S00729L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-11-000346,20/10/2022,,,S00729L5
U092,"KLDiscovery Limited","S00730L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-10-000310,20/10/2022,,,S00730L5
U092,"KLDiscovery Limited","S00731L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-04-000103,20/10/2022,,,S00731L5
U092,"KLDiscovery Limited","S00732L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-04-000102,20/10/2022,,,S00732L5
U092,"KLDiscovery Limited","S00733L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-05-000157,20/10/2022,,,S00733L5
U092,"KLDiscovery Limited","S00734L5",,20/10/2022,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-08-000249,20/10/2022,,,S00734L5
U092,"KLDiscovery Limited","SLO001L5",,04/05/2017,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000473,24/09/2019,,,SLO001L5
U092,"KLDiscovery Limited","SLO002L5",,04/05/2017,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000474,24/09/2019,,,SLO002L5
U092,"KLDiscovery Limited","SLO003L5",,04/05/2017,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000464,24/09/2019,,,SLO003L5
U092,"KLDiscovery Limited","SLO004L5",,04/05/2017,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000469,24/09/2019,,,SLO004L5
U092,"KLDiscovery Limited","SLO005L5",,04/05/2017,Delivered,"DLT/LTO",,13/07/2017,"T -DLT / TK80",OPENMEDIA,,04/05/2017,13/07/2017,,SLO005L5
U092,"KLDiscovery Limited","SLO006L5",,04/05/2017,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000470,24/09/2019,,,SLO006L5
U092,"KLDiscovery Limited","SLO007L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-14-000418,24/09/2019,,,
U092,"KLDiscovery Limited","SLO008L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000471,24/09/2019,,,SLO008L5
U092,"KLDiscovery Limited","SLO009L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-14-000427,24/09/2019,,,
U092,"KLDiscovery Limited","SLO010L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000472,24/09/2019,,,SLO010L5
U092,"KLDiscovery Limited","SLO011L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000465,24/09/2019,,,SLO011L5
U092,"KLDiscovery Limited","SLO012L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000466,24/09/2019,,,SLO012L5
U092,"KLDiscovery Limited","SLO013L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000467,24/09/2019,,,SLO013L5
U092,"KLDiscovery Limited","SLO014L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000468,24/09/2019,,,SLO014L5
U092,"KLDiscovery Limited","SLO015L5",,24/09/2019,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-004-15-000460,24/09/2019,,,SLO015L5
